fLinkID,tLinkID,demand,fTime,tTime,mean,sd,vlim
162,162,350,38100,38400,14.61318051,2,20
162,162,312,38400,38700,15.30189353,2,20
162,162,294,38700,39000,15.17571548,2,20
162,162,252,39000,39300,16.36353615,2,20
162,162,246,39300,39600,16.01020408,2,20
162,162,302,39600,39900,15.56293835,2,20
162,162,318,39900,40200,15.04367575,2,20
162,162,332,40200,40500,15.55555555,2,20
162,162,296,40500,40800,17.18562312,2,20
162,162,280,40800,41100,16.52678571,2,20
162,162,268,41100,41400,16.56471077,2,20
162,162,302,41400,41700,15.81769683,2,20
162,162,316,41700,42000,16.4214135,2,20
162,162,312,42000,42300,16.00892857,2,20
162,162,280,42300,42600,15.68650793,2,20
162,162,280,42600,42900,16.02847471,2,20
162,162,298,42900,43200,15.51826994,2,20
162,162,266,43200,43500,17.29427735,2,20
162,162,260,43500,43800,16.3020163,2,20
162,162,230,43800,44100,17.28260869,2,20
162,162,246,44100,44400,16.66892502,2,20
162,162,222,44400,44700,17.30138888,2,20
162,162,204,44700,45000,17.71209632,2,20
162,162,244,45000,45300,16.5329218,2,20
162,162,220,45300,45600,17.29705732,2,20
162,162,224,45600,45900,17.15773809,2,20
162,162,186,45900,46200,17.09909909,2,20
162,162,196,46200,46500,17.73219372,2,20
162,162,218,46500,46800,17.20302099,2,20
162,162,224,46800,47100,16.28923766,2,20
162,162,228,47100,47400,16.76900584,2,20
162,162,222,47400,47700,17.31606606,2,20
162,162,248,47700,48000,16.68128654,2,20
162,162,256,48000,48300,16.63736979,2,20
162,162,250,48300,48600,16.96222222,2,20
162,162,230,48600,48900,17.352657,2,20
162,162,282,48900,49200,16.29794385,2,20
162,162,284,49200,49500,16.25932469,2,20
162,162,302,49500,49800,15.45069904,2,20
162,162,302,49800,50100,17.08794587,2,20
162,162,264,50100,50400,16.03851009,2,20
162,162,312,50400,50700,15.80367734,2,20
162,162,292,50700,51000,16.56297564,2,20
162,162,288,51000,51300,16.4672861,2,20
162,162,324,51300,51600,15.38923182,2,20
162,162,310,51600,51900,15.54297015,2,20
162,162,326,51900,52200,15.35726495,2,20
162,162,310,52200,52500,15.0188781,2,20
162,162,324,52500,52800,15.47815617,2,20
162,162,358,52800,53100,14.36196701,2,20
162,162,316,53100,53400,14.81188466,2,20
162,162,336,53400,53700,14.12935323,2,20
162,162,284,53700,54000,15.93603286,2,20
162,162,296,54000,54300,15.95345345,2,20
162,162,318,54300,54600,15.26989134,2,20
162,162,320,54600,54900,15.92100694,2,20
162,162,310,54900,55200,15.79737504,2,20
162,162,308,55200,55500,15.38545059,2,20
162,162,302,55500,55800,15.64753495,2,20
162,162,324,55800,56100,14.79338134,2,20
162,162,268,56100,56400,16.65859843,2,20
162,162,294,56400,56700,15.67365835,2,20
162,162,312,56700,57000,14.3935334,2,20
162,162,316,57000,57300,14.54673721,2,20
162,162,316,57300,57600,15.340388,2,20
162,162,314,57600,57900,15.46230859,2,20
162,162,294,57900,58200,15.50436101,2,20
162,162,284,58200,58500,15.66803599,2,20
162,162,286,58500,58800,14.70467836,2,20
162,162,296,58800,59100,15.21865615,2,20
162,162,276,59100,59400,16.11616161,2,20
162,162,324,59400,59700,15.67644032,2,20
162,162,302,59700,60000,15.55001845,2,20
162,162,290,60000,60300,15.33524904,2,20
162,162,326,60300,60600,15.75299145,2,20
162,162,334,60600,60900,13.49883566,2,20
162,162,304,60900,61200,15.41849415,2,20
162,162,312,61200,61500,14.5543051,2,20
162,162,324,61500,61800,15.65703474,2,20
162,162,312,61800,62100,14.87841043,2,20
162,162,354,62100,62400,14.82766761,2,20
162,162,368,62400,62700,14.04556463,2,20
162,162,338,62700,63000,14.48964497,2,20
162,162,336,63000,63300,14.61940298,2,20
162,162,356,63300,63600,14.79868913,2,20
162,162,346,63600,63900,14.91891458,2,20
162,162,326,63900,64200,15.13333333,2,20
162,162,356,64200,64500,14.49217527,2,20
162,162,296,64500,64800,15.84086628,2,20
162,162,364,64800,65100,13.98809523,2,20
162,162,338,65100,65400,14.29234972,2,20
162,162,348,65400,65700,13.23435504,2,20
162,162,320,65700,66000,15.62239583,2,20
162,162,316,66000,66300,15.05889592,2,20
162,162,320,66300,66600,14.7526994,2,20
162,162,280,66600,66900,16.64874551,2,20
162,162,296,66900,67200,15.65536723,2,20
162,162,288,67200,67500,15.85753,2,20
162,162,306,67500,67800,15.89271336,2,20
162,162,248,67800,68100,16.30040322,2,20
162,162,252,68100,68400,16.30920761,2,20
162,162,264,68400,68700,15.747782,2,20
162,162,232,68700,69000,16.32876382,2,20
162,162,240,69000,69300,15.81473732,2,20
162,162,210,69300,69600,16.81613756,2,20
162,162,248,69600,69900,15.50515232,2,20
162,162,230,69900,70200,15.86244541,2,20
162,162,228,70200,70500,15.93734703,2,20
162,162,232,70500,70800,16.22725095,2,20
162,162,260,70800,71100,15.58129558,2,20
162,162,226,71100,71400,15.41604938,2,20
162,162,252,71400,71700,15.08632138,2,20
162,162,222,71700,72000,16.2845651,2,20
162,162,182,72000,72300,16.33547008,2,20
162,162,218,72300,72600,15.61034658,2,20
162,162,240,72600,72900,15.62761506,2,20
162,162,226,72900,73200,15.67460317,2,20
162,162,224,73200,73500,16.31463146,2,20
162,162,244,73500,73800,16.01320582,2,20
162,162,222,73800,74100,16.0523023,2,20
162,162,230,74100,74400,15.56525958,2,20
162,162,236,74400,74700,15.70621468,2,20
162,162,234,74700,75000,15.98354792,2,20
162,162,224,75000,75300,16.56452416,2,20
162,162,212,75300,75600,15.52803982,2,20
162,162,238,75600,75900,16.53127917,2,20
162,162,218,75900,76200,16.25960061,2,20
162,162,202,76200,76500,15.75456052,2,20
162,162,218,76500,76800,16.25254841,2,20
162,162,210,76800,77100,15.83862433,2,20
162,162,232,77100,77400,16.14224137,2,20
162,162,218,77400,77700,16.68068297,2,20
162,162,232,77700,78000,16.05723179,2,20
162,162,222,78000,78300,16.29210658,2,20
162,162,186,78300,78600,16.86081242,2,20
162,162,210,78600,78900,17.06613756,2,20
162,162,192,78900,79200,16.81278098,2,20
162,162,216,79200,79500,16.14969135,2,20
162,162,184,79500,79800,16.87952898,2,20
162,162,170,79800,80100,16.49673202,2,20
162,162,210,80100,80400,16.7849548,2,20
162,162,172,80400,80700,16.60981156,2,20
162,162,188,80700,81000,17.25044562,2,20
162,162,138,81000,81300,18.23671496,2,20
162,162,172,81300,81600,17.55847952,2,20
162,162,182,81600,81900,16.91835481,2,20
162,162,164,81900,82200,17.11043359,2,20
162,162,164,82200,82500,17.14042262,2,20
162,162,146,82500,82800,17.28160918,2,20
162,162,146,82800,83100,17.45210727,2,20
162,162,132,83100,83400,18.19762509,2,20
162,162,150,83400,83700,18.05555554,2,20
162,162,130,83700,84000,17.99358973,2,20
162,162,128,84000,84300,17.94619421,2,20
162,162,102,84300,84600,19.23542352,2,20
162,162,142,84600,84900,18.03149605,2,20
162,162,100,84900,85200,19.4722222,2,20
162,162,112,85200,85500,18.22916665,2,20
162,162,106,85500,85800,19.33597882,2,20
162,162,100,85800,86100,18.013468,2,20
162,162,92,86100,86400,19.06898655,2,20
